,Analysis,Polarity,Profanity,Subjectivity,author id,compound,for,id,neg,neu,pos,text,type,Gender,Activist
0,Positive,0.1363636363636363,False,0.5,57243327,0.0,46571486,1513959580132282370,0.0,1.0,0.0,Who’s going to live tweet  theresident episode ‘Ride or Die’ Tuesday night.              mattczuchry🏨 https://t.co/I0ai2y8lf7,Mention,Male,False
1,Positive,0.4375,False,0.65,1297411020852355072,0.4753,46571486,1513947764589166593,0.0,0.877,0.123,"The true image of Hannibal!
                 https://t.co/Fj3eNE8HHh",Mention,Male,False
2,Neutral,0.0,False,0.0,123599183,0.0,46571486,1513885620682342411,0.0,1.0,0.0,   _wade        _ _herrera17 _Morgann        https://t.co/i0mkceOVhP,Mention,Male,False
3,Negative,-0.7,True,1.0,84177968,-0.5106,46571486,1513858292556177413,0.355,0.645,0.0,  I remember that ugly shirt episode 😆,Mention,Male,False
4,Neutral,0.0,False,0.0,46662532,0.0,46571486,1513850669748391937,0.0,1.0,0.0,Watch Preview For ‘The Resident’ Tuesday https://t.co/YLAdhfUNQD    _Chestnut,Mention,Male,False
5,Positive,0.1363636363636363,False,0.5,57243327,0.0,46571486,1513604241033601026,0.0,1.0,0.0,I know it’s Monday but who’s going to live tweet  theresident episode ‘Ride or Die’ Tuesday night.             🏨 https://t.co/a0iScOybhK,Mention,Male,False
6,Neutral,0.0,False,0.0,1304497659697344512,0.0,46571486,1513569225755013122,0.0,1.0,0.0,     _EG    _Z,Mention,Male,False
7,Positive,0.2,False,0.2,810818163965358081,0.7845,915726438,1518056453331767296,0.0,0.582,0.418," Thanks for the opportunity 😍

0x83B5cf054AD9596A64951422A25423e0efAf6e97

My metamask wallet address

Join 

 
 
",Mention,Male,False
8,Positive,1.0,False,1.0,699718906844286976,0.6303,915726438,1517785321861226496,0.0,0.636,0.364,"Excellent Project .... don't miss out guys
 
 
 https://t.co/VxXcULIKYJ",Mention,Male,False
9,Neutral,0.0,False,0.0,845828488850542593,0.0,915726438,1517677168301588481,0.0,1.0,0.0,.       _rye       _Staffer   https://t.co/TGiLsPJF81,Mention,Male,False
10,Neutral,0.0,False,0.0,845828488850542593,0.0,915726438,1517676915527757832,0.0,1.0,0.0,.       _rye       _Staffer   https://t.co/QnS6zagwrK,Mention,Male,False
11,Neutral,0.0,False,0.0,845828488850542593,0.0,915726438,1517676548442177536,0.0,1.0,0.0,.        _rye       _Staffer   https://t.co/xH2SxQtolf,Mention,Male,False
12,Neutral,0.0,False,0.0,845828488850542593,0.0,915726438,1517656568480870401,0.0,1.0,0.0,.        _rye       _Staffer   https://t.co/sNIEQrUQJP,Mention,Male,False
13,Positive,0.2142857142857142,False,0.5,988830848404283392,0.4588,915726438,1517645228563320832,0.0,0.727,0.273," Wordle 307 3/6

⬜⬜🟨⬜⬜
⬜🟨🟩⬜⬜
🟩🟩🟩🟩🟩 pure luck",Mention,Male,False
14,Neutral,0.0,False,0.0,25283607,0.0,915726438,1517640052674813957,0.0,1.0,0.0," Wordle 307 2/6

⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",Mention,Male,False
15,Positive,0.1499999999999999,False,0.525,48395237,0.3382,915726438,1517639066090672129,0.13,0.649,0.221,  _Fabricant I’ve added Mr. Fabricant’s book to my reading list! Surprising/not-so surprising tactics in the criminal justice system.,Mention,Male,False
16,Negative,-0.0666666666666666,True,0.6,845828488850542593,-0.2023,915726438,1517632824307814400,0.102,0.819,0.079,Help please... puts the dry in dry &amp; will kick congressional ass.         _rye       _Staffer   https://t.co/Lp8VvPudHH,Mention,Male,False
17,Neutral,0.0,False,0.0,834577200,0.0,915726438,1517616574781345792,0.0,1.0,0.0," Wordle 307 2/6

🟩🟨⬛🟩🟩
🟩🟩🟩🟩🟩",Mention,Male,False
18,Positive,1.0,False,1.0,41535147,0.6114,915726438,1517616441234796549,0.0,0.429,0.571, Happy earth day!,Mention,Male,False
19,Negative,-0.4,False,0.55,4214201473,-0.5267,915726438,1517586795348873217,0.175,0.825,0.0,What is junk science and how is it used in criminal courts? _Fabricant and  discuss: https://t.co/qWHfBQwI71,Mention,Male,False
20,Negative,-0.2249999999999999,False,0.2916666666666666,1467939984560713733,-0.8271,915726438,1517574573746573312,0.237,0.603,0.16," I can see that. Both comedians  and  also had shows on comedy central , but their woke writers killed those shows IMO.  TDS continues to lose viewers, because host is insufferable and a 2 face hypocrite, so maybe comedy central is just bad for comedy.",Mention,Male,False
21,Neutral,0.0,False,0.0,1495196304137412613,0.0,915726438,1517220783789064193,0.0,1.0,0.0," Come and get your apes frens!!
 

    ",Mention,Male,False
22,Neutral,0.0,False,0.0,9273802,0.3612,915726438,1517190272395792395,0.0,0.783,0.217,"  Thx Larry,,,but you’re not off the hook—podcast, etc.",Mention,Male,False
23,Neutral,0.0,False,0.0,1199108064118333440,0.0,915726438,1517181137054945288,0.0,1.0,0.0," Wordle 306 3/6

⬜🟨🟨⬜⬜😎
⬜🟨🟨🟩🟩😎😎
🟩🟩🟩🟩🟩😎",Mention,Male,False
24,Neutral,0.0,False,0.0,71048726,0.0,915726438,1517151608118816769,0.0,1.0,0.0, 🤪,Mention,Male,False
25,Neutral,0.0,False,0.0,1599982184,0.0,915726438,1517132001341497348,0.0,1.0,0.0, I'm so oxided for you!,Mention,Male,False
26,Neutral,0.0,False,0.125,2380729940,0.0,915726438,1517079623695273985,0.0,1.0,0.0," same boat
Wordle 306 5/6

⬜⬜⬜🟨⬜
⬜⬜🟩⬜⬜
⬜⬜🟩⬜🟩
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩",Mention,Male,False
27,Neutral,0.0,False,0.0,25715366,0.0,915726438,1517004313783984129,0.0,1.0,0.0, Our Lakers coulda used Caruso this year…and KCP…and….,Mention,Male,False
28,Neutral,0.0,True,0.0,28889417,-0.6705,915726438,1516997254879399936,0.474,0.412,0.113, He's a hell of a defensive player.,Mention,Male,False
29,Neutral,0.0,False,0.0,35527340,0.0,915726438,1516995782636834816,0.0,1.0,0.0, Bald Mamba!,Mention,Male,False
