,Analysis,Polarity,Profanity,Subjectivity,author id,compound,for,id,neg,neu,pos,text,type,Gender,Activist
0,Positive,0.5,False,0.7,987949034911383552,-0.2732,21456548,1490320680831037443,0.141,0.763,0.096," ON THE RECORD - defund police/soft on crime - innocent killings-Cori Bush, A Orcasio-Cortez,Ilhan Omar,Pressley,LetitiaJames,DiBlasio,MayorWheeler (Or), Kim Foxx,Larry Krasnier,Bragg,Kim Gardner,Chesea Boudin,Abrams GeorgeGascon,Bidens,Psaki,Eric Adams,Tlaibetc",Mention,Male,True
1,Positive,0.4,True,0.9444444444444444,1416120591095148550,0.6249,21456548,1490186908202422276,0.0,0.812,0.188," You're correct.  Let's make sure to vote them out. There are ""powerful people""
working tirelessly to keep Trump aka Hitler out the Whitehouse.",Mention,Male,True
2,Positive,0.05,False,0.2416666666666666,1416120591095148550,0.5719,21456548,1490169182599659521,0.0,0.879,0.121," ""Political Discourse"" is what they say it is (01/06/21, never happened. However, it's  just a Redherring. It's clear that January 6, 2021, was committed by dysfunctional people who believe that the country  is overrun by immigrants.",Mention,Male,True
3,Negative,-0.078125,False,0.328125,16795628,-0.128,21456548,1489877425567809541,0.061,0.939,0.0,": : What does ""legitimate political discourse"" mean, coming from the same people currently censoring educators, banning books, and silencing voters? https://t.co/1MBG0f3efB",Mention,Male,True
4,Neutral,0.0,False,0.1,1276279148,0.4019,21456548,1489767623646605319,0.0,0.828,0.172," I think to them it means ""any expression in favor of our political views.""",Mention,Male,True
5,Neutral,0.0,False,0.0,245424983,-0.7003,21456548,1489742717173129222,0.365,0.516,0.119," Discourse yes, but what about that violence and incitement ?",Mention,Male,True
6,Neutral,0.0,False,0.25,2925941466,0.2732,21456548,1489738479189831684,0.0,0.826,0.174, Just recently happened in Las Vegas as well. To a 19-year-old.,Mention,Male,True
7,Negative,-0.5,False,1.0,82764915,-0.4767,21456548,1489737869816119302,0.22,0.78,0.0, Sad thing is. Without that video. This would get covered up.,Mention,Male,True
8,Negative,-0.078125,False,0.328125,215089930,-0.128,21456548,1489737230847410177,0.061,0.939,0.0,"""What does 'legitimate political discourse' mean, coming from the same people currently censoring educators, banning books, and silencing voters?"" asks  
https://t.co/8a9QhV3tMX via ",Mention,Male,True
9,Positive,0.5,False,0.5,2254236379,0.91,21456548,1489705321945829383,0.0,0.675,0.325,"Honored to join my remarkable peers  ,  , and   to discuss philanthropy’s role in supporting racial equity. Listen to our  GivingDoneRight episode. BlackHistoryMonth  https://t.co/V3mNxKNnZq https://t.co/27ST6zJRVi",Mention,Male,True
